,RMSE mean,RMSE standard deviation,Hyperparameters
83,0.03827339888545542,0.0005906482915273307,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.01, 'subsample': 0.6}"
84,0.038257742186345096,0.0007998912183371322,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.7}"
85,0.03823381843280706,0.0006536367259074944,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.7}"
86,0.038195426483745507,0.0005653684082176945,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.6}"
87,0.03814610026292853,0.0006107119926118193,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.7}"
88,0.038079378443965764,0.0005542820594176578,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.7}"
89,0.03795994730715272,0.000733535016758565,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.5}"
90,0.0379084766668211,0.00043957248118967475,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.6}"
91,0.0378957216468713,0.0006903762581277707,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.01, 'subsample': 0.5}"
92,0.0377807368149463,0.0006389447426801833,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.5}"
93,0.03742926298838043,0.0007008801731453819,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.7}"
94,0.03733030552374482,0.0006399902952020253,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.7}"
95,0.03731052886233048,0.0006324100308445482,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.6}"
96,0.03727264304676236,0.0005587405012026256,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.7}"
97,0.03716039914421384,0.0006045406678220114,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.5}"
98,0.037142873128459306,0.0006023954035879465,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.6}"
99,0.037125576227916915,0.0006589647739014462,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.5}"
100,0.03710690849794055,0.0006664827247396772,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.6}"
101,0.03710082538403071,0.000722674981057439,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.7}"
102,0.03691734128389359,0.000529743938438273,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.5}"
103,0.036843637469625025,0.0005794296326336593,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.6}"
